en-unannotated-00001	Unsure.
en-unannotated-02009	Found this hidden gem just 5 minutes from Plaza Mayor when we were trying to find somewhere for lunch.
en-unannotated-02010	Excellent food, preparation but the thing we lied best was the excellent service and attention to detail.
en-unannotated-02011	The steak was cooked medium rare to perfection and nicely crusted with peppercorns.
en-unannotated-02012	Realizing that time was passing and we'd seen nowhere we fancied, we went back to the Ezeiza.
en-unannotated-02013	Why spoil a nicely working app as Hailo to replace it with something that doesn't work.
en-unannotated-02014	Thanks to fellow Yelp members for suggesting this place!
en-unannotated-02015	We had no reservations but they gave us this tiny tabola in a window.
en-unannotated-02016	Tourist Trap.
en-unannotated-02017	Really solid spot for a chill drink and the location is really accessible.
en-unannotated-02018	Note: I use redmi note 3
en-unannotated-02019	He was extremely attentive and delivered our meal accurately, completely, and timely.
en-unannotated-02020	recommend for sure.
en-unannotated-02021	But first we also tried the croquetas and a nice salad.
en-unannotated-02022	Seating is an arrangement of tables with orange plastic chairs which further add to the vibe.
en-unannotated-02023	The location is perfect, it was unfortunately a very short  stay but I will go back next time I am in Rome!
en-unannotated-02024	I went very close to cloding and they were extremely welcoming.
en-unannotated-02025	My tuna poke was amazing and am already considering​ my return poke.
en-unannotated-02026	Not a week end day...
en-unannotated-02027	Thank you to [NAME] and [NAME] for a great evening
en-unannotated-02028	For the price (cheap!
en-unannotated-02029	I expected a larger room though the terrace made up for the dismal colour.
en-unannotated-02030	at least that what I had.
en-unannotated-02031	thank you - great food, the best service and a great experience...
en-unannotated-02032	Great service and great wine list !!
en-unannotated-02033	The juicy shrimp, the melt-in-your-mouth wagyu strips and the succulent tuna, it all came together in a sensational, flavour abundant dining experience.
en-unannotated-02034	At some point I really should try something else from there, but every time I go I go for that burger.
en-unannotated-02035	Duck breast was overcooked while simultaneously not having enough fat rendered, and had a slight liver funk to it.
en-unannotated-02036	Location
en-unannotated-02037	We love the hotel.
en-unannotated-02038	I was lucky I was with a good friend so the time flew past but it would definitely be awkward if you were in a rush or with someone you wanted to escape from and you have to wait excessive amounts of time for simple food...
en-unannotated-02039	Didn't sleep well...
en-unannotated-02040	DIVINE!
en-unannotated-02041	Everything that we ordered as suggestion by our waiter was absolutely amazing!
en-unannotated-02042	Very well appointed apartment in a central location.
en-unannotated-02043	This was the best place we ate during our weekend getaway in Prague.
en-unannotated-02044	Spaghetti de carbonara is the main dish everyone ordered around us.
en-unannotated-02045	I compliment Judy the mgr.
en-unannotated-02046	By far this was the best hotel of our 2-week travels in Spain and Portugal, far surpassing the Ritz in Lisbon, our other 5-star hotel.
en-unannotated-02047	I couldn't stop eating it!
en-unannotated-02048	If you're looking for a place that will look after you on your first trip to Bogota, this is it.
en-unannotated-02049	Pretty little family restaurant.
en-unannotated-02050	Blanc and very expensive Voss sparkling water
en-unannotated-02051	Most surprisingly, this Courtyard at the International airport ranks right at the top.
en-unannotated-02052	Awesome Atmosphere!!
en-unannotated-02053	Nice atmosphere, large space, ample seating (although don't expect that on a weekend evening), nice decor (loved the legit candelabras) and extremely friendly staff.
en-unannotated-02054	Swimming pool is a little small but clean.
en-unannotated-02055	Surprisingly good.
en-unannotated-02056	Overall, it was a wonderful experience apart from the dim lighting and slightly stuffy space.
en-unannotated-02057	It's VERY SMALL....
en-unannotated-02058	Nice night, great food.
en-unannotated-02059	The fish arrived at the same time of the bread and the butter, so we didn’t have time to relax and...
en-unannotated-02060	I've seen the reviews and it's amazing!!!!!!!
en-unannotated-02061	The host was endlessly helpful; he explained every menu item in detail in clear English, without being asked.
en-unannotated-02062	The overall experience was above and beyond what I expected, fantastic food and in [name] lovely home that interacted with all the guest and the atmosphere was awesome.
en-unannotated-02063	Centrally located and walking distance to many attractions.
en-unannotated-02064	I think it was on of the most interesting and exciting as well as comfortable places we have ever been.
en-unannotated-02065	3 stars.
en-unannotated-02066	And then there was the drinks menu.
en-unannotated-02067	Dinner with the 50ml of wine and a coke was E110 - not terrible for where we were and what we ate.
en-unannotated-02068	com nor other written communications with the Hotel staff.
en-unannotated-02069	It's dark and grungy, the constantly rotating art is hip and cool.
en-unannotated-02070	Course menu with wine pairing was excellent value for quality of food, cooking, and flavors.
en-unannotated-02071	The a la carte menu is a bit pricey but trust me, it is well worth paying 20Euro for cottage pie.
en-unannotated-02072	I recommend this place to eat and drink.
en-unannotated-02073	There's not a whole lot more to add on this restaurant from what's been already written.
en-unannotated-02074	You can't find a more authentic Mexican restaurant anywhere, but what really makes this place a unique is how simple, inexpensive and friendly, the environment is.
en-unannotated-02075	super risotto.
en-unannotated-02076	Also, they are very informative to non Italian speakers.
en-unannotated-02077	This hotel was modern and located in a good area.
en-unannotated-02078	- Booked a room with twin beds, got a room with a double bed.
en-unannotated-02079	I had the veal and the wife had the Hake.
en-unannotated-02080	I skipped it the first day I...
en-unannotated-02081	I ordered the pork knee (knuckle) with horseradish and mustard and grilled veggies.
en-unannotated-02082	The duck entree was the highlight of our food in Paris.
en-unannotated-02083	For sure!
en-unannotated-02084	This is a well located hotel in a quieter part of the town but overlooking the beach - excellent views.
en-unannotated-02085	There's a tiny sign off Charlotte street and you have to navigate through a building with a Koala rescue organization (and pass a giant koala) in order to find it.
en-unannotated-02086	The staff was very very helpful and kind.
en-unannotated-02087	The building looks like an old palace, very impressive.
en-unannotated-02088	i love how the chef...
en-unannotated-02089	A wonderful seafood taco joint.
en-unannotated-02090	It was however, the Dumplings that were the worst.
en-unannotated-02091	I am gon go lie down now cuz the meat sweat is kicking in.........
en-unannotated-02092	Since you updated it it's useless
en-unannotated-02093	We had a very pleasant stay here.
en-unannotated-02094	You have to order in line with a paper menu and then the waiters will find you a seat after...
en-unannotated-02095	Food was good.
en-unannotated-02096	Again the service is just great kudos to the staff
en-unannotated-02097	The location is amazing, just at the spanish steps and alao at good shopping area and has good cafes just by the corner
en-unannotated-02098	It had such lovely macarons that we had return again to buy gifts to take back home!
en-unannotated-02099	The wifi just doesn't work -- cuts in and out every five minutes.
en-unannotated-02100	For desert we chose two dishes.
en-unannotated-02101	Selected wines match perfectly with all dishes....
en-unannotated-02102	One of the best restaurant in Ajaccio
en-unannotated-02103	SO good.
en-unannotated-02104	situation is perfect.
en-unannotated-02105	This sounds like a lot of food but the popcorn shrimp the wagyu new-style are starters designed to share.
en-unannotated-02106	Also you can swipe up diagonally and it will spin a lot faster.
en-unannotated-02107	First thing I noticed is that there is a LOT of people and only 3 tables.
en-unannotated-02108	We had the duck from the hot pintxo menu and it was sublime.
en-unannotated-02109	Cozy atmosphere.
en-unannotated-02110	They don't have any tables outside though.
en-unannotated-02111	Great location.
en-unannotated-02112	A venture into the unknown to some extent as you only choose the length of the experience without knowing each dish prior to its arrival, though for us this...
en-unannotated-02113	Room are nice.
en-unannotated-02114	After last update stop syncing.
en-unannotated-02115	Recommended by friends and we were not disappointed - great spot by the window prompt service delicious food and a very reasonable bill!
en-unannotated-02116	I have rated it 3 stars,  i can rate it 4 if u add some good sound effects in it.
en-unannotated-02117	The food is also grandmother worthy.
en-unannotated-02118	A great spot for on the northside.
en-unannotated-02119	The service...
en-unannotated-02120	Do not shy away from the non sweet pancakes, they are amazing!
en-unannotated-02121	What's with the charges all of a sudden?
en-unannotated-02122	One other thing of importance is that there are a couple La Cordonnerie restaurants in Paris, so be careful when using Uber or iMaps that you have the right one.
en-unannotated-02123	Let some space for dessert, all of those are delicious!!
en-unannotated-02124	This was one of my favorite meals/restaurants during my visit to Paris.
en-unannotated-02125	We lived thru 9/11 so we understand.
en-unannotated-02126	It was great as well.
en-unannotated-02127	The starters were good- we had the french oignon soup and tuna tartare.
en-unannotated-02128	Had a fantastic meal as we wanted a great seafood meal in Corsica and didn't disappoint, was quiet as Sunday lunch and that's change over day so was not crowded
en-unannotated-02129	The owner came to our table as well to make sure we were happy with our meals.
en-unannotated-02130	We ordered the seared foie gras, the biggest one we have ever seen and one whole piece of large foie gras is very special.
en-unannotated-02131	Luckily we were able to snag a table.
en-unannotated-02132	Food was average but good.
en-unannotated-02133	The staff were all so sweet!
en-unannotated-02134	The reception staff was very friendly and helpful.
en-unannotated-02135	Not flexible and no customer orientation.
en-unannotated-02136	So I will condense it to the following: Nase Maso is extraordinary example of the expression of an artisan craft.
en-unannotated-02137	And it is still absolutely worth to be visit.
en-unannotated-02138	I had the same concerns as other yelpers, it seems Americans tend to frequent the little bistro just if not maybe more than the French, which is in my mind intriguing, bordering worrying.
en-unannotated-02139	The hotel is an oasis in a busy and fascinating city.
en-unannotated-02140	Room was large, elegant and comfortable.
en-unannotated-02141	The riffle is the BEST dessert.
en-unannotated-02142	Very reasonable prices for Paris and a warm atmosphere.
en-unannotated-02143	Vibe- good dining surrounding but sometime s it can be crazily noisy.
en-unannotated-02144	I really like spotify but there is one feature it's missing.
en-unannotated-02145	They quickly took our order and brought out our appetizers and our bottle of wine.
en-unannotated-02146	However it is popular and if you want to guarantee a table I would recommend booking.
en-unannotated-02147	Rooms was poorly Maintained.
en-unannotated-02148	I have been waiting for Suki to open for ages and not w it's open I have a slight addiction!
en-unannotated-02149	Great service, best goulash !!!!!
en-unannotated-02150	My wife recommended this place after seeing good reviews, although we sort of regret it after the fact.
en-unannotated-02151	its fun to plat and one of my favourite ways to kill time.
en-unannotated-02152	We were holding 2 platters of food, and had no idea where to go to eat them.
en-unannotated-02153	The meal was paired with some excellent wines and as other reviewers have mentioned, the menu...
en-unannotated-02154	The meal was split to represent both molecular and classic catalan dishes and was paced over a few hours- guests were locals and foreigners and we through the night made some friends and ended up leaving this dinner for a bar to a disco to...
en-unannotated-02155	It was expensive and of coarse not recommended to buy wines from a restaurant but since she was on a time constraint, she was happy to pay the extra amount and get the best bottle to take back.
en-unannotated-02156	Rooms are good value, clean, well decorated with modern finishes.
en-unannotated-02157	Nd to add chat what we want to say to every one not just fb frmds..
en-unannotated-02158	What a cute little restaurant!
en-unannotated-02159	I asked my server to have my steak cooked well done but not dry.
en-unannotated-02160	From spectacular food to the decor and feeling of being treated like a special person.
en-unannotated-02161	Enjoy
en-unannotated-02162	As for the beef filet, it was slightly more cooked than I would've wanted (closer to medium-well than medium), but it was still very moist!
en-unannotated-02163	All the food here is amazing and if you like your seafood then you definitely need to give it a try.
en-unannotated-02164	My friend and I went here yesterday to try it out because we had heard so much about this place.
en-unannotated-02165	By 9 several other diners had made their way in.
en-unannotated-02166	Friend ordered the bread bowl and I got the pork knuckle.
en-unannotated-02167	We selected a Miso pork belly and designed a beast with beef, Spanish onion, grilled capsicum, tomato, cheddar and blue cheese sauce (extra $3). The Miso wasn't the tender pork belly I was expecting but had a more shredded barbecued pork flavour to it.
en-unannotated-02168	For someone looking to download this app, just dont.
en-unannotated-02169	..
en-unannotated-02170	After the first one, we decided it would be a great idea to eat.
en-unannotated-02171	Well i went to that section of the app by tapjoy and i completed an offer for 50thousand and some change but never recieved my reward :/ so little salty about that but other than that great game
en-unannotated-02172	The location was superb....
en-unannotated-02173	I finished the whole thing!
en-unannotated-02174	A city of gastronomic and good wines.
en-unannotated-02175	You have to stand in a queue with a tray and then go around the tables in search of a free one.
en-unannotated-02176	I want more!
en-unannotated-02177	They always had a problem with the ovens in the kitchen.
en-unannotated-02178	While the sausage was very good, served with bread and mustard, the steaks were good but not very remarkable.
en-unannotated-02179	We had beers and a margarita, great service, excellent flavours and a nice spot to hang out!
en-unannotated-02180	Some albums are missing.
en-unannotated-02181	Doorman was very polite
en-unannotated-02182	We waited at the bar for a seat on the balcony area.
en-unannotated-02183	The best coffee is Brisbane CBD.
en-unannotated-02184	The hotel lacks in basic amenities.
en-unannotated-02185	I would not recommend this place.
en-unannotated-02186	Fantastic food!
en-unannotated-02187	I stayed at 84DC for 8 nights after it was recommended to me by friends.
en-unannotated-02188	I've always been a fan of lavender boiled sweets, but this was different altogether.
en-unannotated-02189	Great atmosphere and food.
en-unannotated-02190	Eaten here twice.
en-unannotated-02191	Breakfast and snack should be improved.
en-unannotated-02192	Great place to sell your stuff.
en-unannotated-02193	Never have I experienced a hotel that is so distant from what I had assumed based on the provided information at the time of reservation.
en-unannotated-02194	Perfect location, very easy to reach from the station/airport.
en-unannotated-02195	Would highly recommend eating here and booking it's facilities for any occasion that needs a touch of class.
en-unannotated-02196	As it's truffle season, there is also an option to have freshly shaved truffle added to any dish for $20 which I was tempted by!
en-unannotated-02197	i ordered a portion of food...
en-unannotated-02198	This is why I love Yelp had best meal with very good roast pork.
en-unannotated-02199	Couldnt ask for much better than this.
en-unannotated-02200	It's been on my phone ever since.
en-unannotated-02201	Could not have been happier.
en-unannotated-02202	YUMMY!
en-unannotated-02203	Very good
en-unannotated-02204	Idk what this is, I'm an American who knows california food pretty well as well as Asian.
en-unannotated-02205	My favorite was the baked brie with rasberry jam.
en-unannotated-02206	The best option is probably the orange bench outside of the next-door restaurant called Sisters, but it's still not a particularly relaxing meal.
en-unannotated-02207	I first stumbled upon Nase Maso in June of 2015. As my friend and I were heading to another restaurant, we noticed a long line snaking out the door and countless people devouring various meat dishes.
en-unannotated-02208	We spent just one night at the Gran Hotel to experience the grandeur of a different time, so my advice: take the old lifts (accompanied by attendant), visit the roof top bar, look down at the fantastic interior from any level..
en-unannotated-02209	There are only like three things on their menu- mussels, calamar and patatas bravas- so dont go lookin for steamed veggies!
en-unannotated-02210	Ridiculous prices, still think that they overcharging the clients (3 ceacer salads - 95 Euro),
en-unannotated-02211	The location is excellent.
en-unannotated-02212	We were celebrating our wedding anniversary and took the 14 course lunch.
en-unannotated-02213	This is a lovely little restaurant on the quay in Bonifacio.
en-unannotated-02214	I'm a freak for radishes so when I saw a plate of them with salt I was a little over excited.
en-unannotated-02215	Wonderful place for a romantic evening!
en-unannotated-02216	Very nice size TV.
en-unannotated-02217	Only issue I have is no offline mode.
en-unannotated-02218	No side mirror
en-unannotated-02219	Midway through my main course, two rowdy men in their late 40s/early 50s were seated next to me and proceeded to wildly gesticulate, place their drinks on my table and the one on the opposite side to me had his arm draped over the chair at my table across from mine.
en-unannotated-02220	That's needs 2 be fixed asap!
en-unannotated-02221	Went here for my last meal in Europe, and I have to say, it was my BEST meal.
en-unannotated-02222	If you look for a place to enjoy a good quality cup of coffee from an italian...
en-unannotated-02223	The staff was friendly and helpful.
en-unannotated-02224	I've never had a bad experience here and rave about it, going there every chance I get and dragging friends who very quickly are also converted.
en-unannotated-02225	I would recommend this to any of my friends coming to Paris.
en-unannotated-02226	Then I ordered a cafe creme to cap off my meal.
en-unannotated-02227	Must try a vanilla ice cream with pistachio and hot chocolate.
en-unannotated-02228	The staff is super friendly.
en-unannotated-02229	As the Boxty House is in the Temple bar area, it's going to be pretty heavy with the tourist trade.
en-unannotated-02230	8 ball pool 4 life..
en-unannotated-02231	I hope to return.
en-unannotated-02232	During my 4 month stay in Prague, I have to say this place was my go-to to satisfy my meat-lover's appitite, and it has to be because of the fresh quality of the meat!
en-unannotated-02233	Great food, great service, great beer.
en-unannotated-02234	We went there on our first evening in Boniface and we had a savory crèpe.
en-unannotated-02235	The room was fantastic, with all the comforts one expects at such top-end hotel.
en-unannotated-02236	They were ok ...
en-unannotated-02237	As part of the planning for our Paris trip, I'd been regularly checking out the TA ratings for the best restaurants in Paris.
en-unannotated-02238	I hope it becomes okay soon.
en-unannotated-02239	You then get in line where cooks are frying seafood in large oil vats.
en-unannotated-02240	Service is snappy and perfect, and each dish is served with a full explanation (in English or French)...
en-unannotated-02241	I stayed here for 3 nights - the hotel is in an absolutely perfect location to explore San Sebastián.
en-unannotated-02242	I did not have reservation but my Airbnb host highly recommended this place (I asked for local, non touristy and walking distance from the apartment) I came to dine here alone at the ripe time of 1030pm (after overnighting in Bergamo the previous night and lunching in Parma the same day and ran around Milan to see the tourist spots; this was a first visit - yeah , that unabated heady mix of exuberance even after Malta and Reykjavik and Amsterdam weeks before, why stop?!) and the place was still full.
en-unannotated-02243	What a great refuge from the rain!
en-unannotated-02244	Make sure you ask that question.
en-unannotated-02245	Well prepared, thoughtfully presented.
en-unannotated-02246	This place was recommended by a cab driver who said "it's a great old pub, if you don't mind the splinters!"
en-unannotated-02247	This didn't detract from my experience.
en-unannotated-02248	As a main, I had the corned beef and cabbage with potato dumplings.
en-unannotated-02249	It tasted great and was very tender.
en-unannotated-02250	My husband ordered the roast beef and I had the duck leg.
en-unannotated-02251	The champagne and wine suggestions were excellent as well !!
en-unannotated-02252	It was delicious.
en-unannotated-02253	I love the pancakes here so much that I returned twice in 4 days.
en-unannotated-02254	I can't really find the words to express our experience at this place.
en-unannotated-02255	Try the cider!
en-unannotated-02256	They have made the whole place look like any proper grandma's house.
en-unannotated-02257	Wow.
en-unannotated-02258	Looked like 90% of the patrons were Mexican natives.
en-unannotated-02259	Overall it is good.
en-unannotated-02260	Very nice hotel in the wonderdul luxury shopping area.
en-unannotated-02261	Once arrived you have to ring the doorbel of the appartmentblock...
en-unannotated-02262	Lunch menu is extensive and surprisingly affordable.
en-unannotated-02263	The staff was trully amazing and polite and whatever I asked was more than willing to help.
en-unannotated-02264	Remember to also try the Kozel beer which is a stout!
en-unannotated-02265	Apartment was very nice as well and for sure value for money
en-unannotated-02266	The smoked duck was soft and fell apart on bite, the foie grass was rich yet not overpowering and the gizzards, well you wouldn't even know you were eating them.
en-unannotated-02267	Reasonable price, authentic plates.
en-unannotated-02268	Then this is your place.
en-unannotated-02269	Portions aren't huge but they aren't tiny either.
en-unannotated-02270	Wow, that was some serious good stuff, served with avocado spread, a slaw, lettuce and right amount of spice.
en-unannotated-02271	Also tried to Seafood Lunch Buffet which was excellent as well.
en-unannotated-02272	Buffet breakfast could be included, this is something that could improve image.
en-unannotated-02273	We visited Loly earlier this year and was greeted with warmth and friendship, she is a wonderful interesting lady who lives in a delightful Parisian flat - and she cooks the most amazing food!!!!
en-unannotated-02274	I was at Coffeemania and the staff were really polite and nice - I speak limited Russian!
en-unannotated-02275	The younger gentleman comes back and informs us that the order was forgotten and was never placed into the system.
en-unannotated-02276	Order what they call the veggie couscous: multiple veggies riced into a well seasoned couscous like side dish without any grain.
en-unannotated-02277	Breakfast had lots of choices.
en-unannotated-02278	It tasted good!
en-unannotated-02279	staff hotel was kind and helpful, the food was delicious and you can find different options in their menu....
en-unannotated-02280	With that being said, just make sure you're in good copy where the conversation can be endless!
en-unannotated-02281	It was not closed.
en-unannotated-02282	Alles war einfach perfect.
en-unannotated-02283	Come for the cheese gratin!!!
en-unannotated-02284	The second night had a small misunderstanding about when to bring out each course but that was ok.
en-unannotated-02285	collect coins.
en-unannotated-02286	It was a pleasure to stay at the Hampton Inn.
en-unannotated-02287	We stayed at the Atlantico in May.
en-unannotated-02288	The cappuccino and the macchiato taste exactly as the one you would get in Italy, if not better, and the sweet, freshly baked on premises, are to die for....
en-unannotated-02289	This restaurant is absolutely must to go!
en-unannotated-02290	A bit noisy at night due to central location and old original windows.
en-unannotated-02291	Hotel so cosy and elegant.
en-unannotated-02292	I would highly recommend the wine pairings - in some restaurants they can be a bit of a let down, but we really enjoyed the pairings at Con Gracia - interesting choices which complimented the courses...
en-unannotated-02293	Wine selection is great, however the cocktails are a bit lacking.
en-unannotated-02294	We came to this pizzeria for a quick slice of pizza before heading home.
en-unannotated-02295	But deserving of a 5 overall.
en-unannotated-02296	Thanks to alll...
en-unannotated-02297	I picked this place because of other reviews and was not disappointed.
en-unannotated-02298	You choose how much...
en-unannotated-02299	The location was the only positive about this hotel
en-unannotated-02300	This is the place to experience the unique TripAdvisor members’ club restaurant atmosphere, made possible by reserving a table online with the help of TripAdvisor.
en-unannotated-02301	As a lunch place (good sushi) sitting near the front with a great daytime view it was great (lunch pricing was better) but for dinner its about what you would expect but nothing more.
en-unannotated-02302	My wife and I stayed at Hotel Preciados for 4 days in mid-May 2017. The hotel is very convenient to all of the sights in Madrid and great to use as a base for exploring.
en-unannotated-02303	The free desktop version allows this so what makes you think changing how the app functions is a good idea?
en-unannotated-02304	Lovely hipster area of Brerea.
en-unannotated-02305	We also ordered the pasta with bottarga and anchovy in butter - if you love the super fishy taste then you'll love this.
en-unannotated-02306	After the amazing meal, we had to get dessert.
en-unannotated-02307	All meals were excellent perfectly seasoned.
en-unannotated-02308	- Overall terrible quality, wouldn't recommend to anyone.
en-unannotated-02309	Highly recommended and right on the money.
en-unannotated-02310	Location,,,
en-unannotated-02311	Relaxed vibe, good value, tasty food.
en-unannotated-02312	The indoor pool was sufficient.
en-unannotated-02313	On top of the great food, you will enjoy a very nice atmosphere, friendly waiters (some...
en-unannotated-02314	So I have now been to this warm, welcoming, delicious restaurant about a dozen times since my first visit in 2013 and my first review in 2015. It continues to be a real icon of an Italian restaurant.
en-unannotated-02315	Without a doubt an intimate personalized culinary magic carpet ride.
en-unannotated-02316	Add to this a wonderful view to Ajaccio's gulf and you are all set for a memorable evening!
en-unannotated-02317	Great location, the most comfortable bed ever, excellent customer service.
en-unannotated-02318	I ordered the egg cocotte foie gras, duck confit shepherd's pie, and Creme brûlée.
en-unannotated-02319	Pretty extensive menu not sure if a husband and wife team but for a small kitchen area they certainly know what they are doing.
en-unannotated-02320	We picked a street view rooms so if you stay in the room at these hours it can be annoying as they don't stop until 8pm but still it is not the hotel's fault and we kind of enjoyed it.
en-unannotated-02321	Plus, the food...
en-unannotated-02322	That would be cliche and verbose.
en-unannotated-02323	The risotto was super creamy with the rice cooked perfectly and the scallops basically melting in my mouth (just thinking about how good it was is like sweet torture). My friend ordered one of their specialty meals of the day (a seafood dish) from the board that was hanging in the restaurant & she really seemed to enjoy her meal as well.
en-unannotated-02324	Prices: 4 stars
en-unannotated-02325	We attended a concert at Express Live downtown and the location of the hotel was a quick $13 Uber ride to the venue.
en-unannotated-02326	We are from America, so when I ordered a cup of coffee, I learned that our version of a "drip coffee" wasn't on the menu.
en-unannotated-02327	This place is amazing.
en-unannotated-02328	It's that one meal, where you think, hmm, maybe this time I should branch out, try something different?
en-unannotated-02329	So good!
en-unannotated-02330	The restaurant has a very nice ambience and is nicely decorated.
en-unannotated-02331	Returned again to this hotel last week for our 3rd time.
en-unannotated-02332	Loved our stay at Splendom Suites Gran Via!
en-unannotated-02333	Clean, large, comfortable rooms.
en-unannotated-02334	Cider list is next level so go get your scrumpy on!
en-unannotated-02335	GET AMONGST THE FREE STUFF.
en-unannotated-02336	Staff was excellent.
en-unannotated-02337	The lemon and cucumber sauce were delicious too, and made the dish less heavy.
en-unannotated-02338	The only regret that I have is that we were both too full to sample their dessert offerings.
en-unannotated-02339	Get the Mr Brightside Cocktail and watch the theatre of the smoke emerge from the glass.
en-unannotated-02340	We were so excited to try it and it definitely exceeded our expectations.
en-unannotated-02341	I had the spiced lamb with nori and pickles...
en-unannotated-02342	Startlingly good pasta in this small, local pasta shop.
en-unannotated-02343	One of the best meals I had in Mexico City.
en-unannotated-02344	I had the soft soft shell crab which was amazing, and for desert a flaming creme brule that was just to die for!
en-unannotated-02345	The coffee was good and it wasn't crowded which was nice.
en-unannotated-02346	This gastronomic experience is just amazing!!
en-unannotated-02347	The location is great.
en-unannotated-02348	I want that much fast in the start also plz
en-unannotated-02349	Very hip.
en-unannotated-02350	John Mills is by now well known for its back-alley location, great coffee, great staff, and great cocktails.
en-unannotated-02351	Location is perfect for a short visit, staff are helpful and always on hand.
en-unannotated-02352	Thin walls you can hear everything
en-unannotated-02353	The...
en-unannotated-02354	and the Limoncello....
en-unannotated-02355	fresh local products and home-made pasta are of excellent quality.
en-unannotated-02356	Fantastic restaurant.
en-unannotated-02357	You can reserve a table, but my Czech is somewhat lacking to do so by phone, so I took my chances.
en-unannotated-02358	Must stop in Paris!
en-unannotated-02359	Everything from the welcome all the way through the goodbye were...
en-unannotated-02360	I was hungry, and stuff wasn't tasty at all.
en-unannotated-02361	One other thing that my wife and I liked was their 1/2 bottle wine selections.
en-unannotated-02362	Pork knee - crunchy ass skin, so BOMB.
en-unannotated-02363	Really enjoyed visiting this hotel.
en-unannotated-02364	Service: professional and friendly
en-unannotated-02365	I really dont like whats happening.
en-unannotated-02366	Enjoyed the relish very much.
en-unannotated-02367	* book in advance!
en-unannotated-02368	On our first day in Ajaccio he offered us the local Pietra beer, and we spent the rest of the holiday across the island searching it out.
en-unannotated-02369	The staff are very polite, helpful and service is quick, efinitely worth it though.
en-unannotated-02370	I am just visiting Mexico, so I may not have best comparison.
en-unannotated-02371	They offer a wide selection of alcoholic drinks which I did not get to try as it was only 9:30 in the morning.
en-unannotated-02372	Yum, such a great combination of sweet and salty, though maybe there could have been some more syrup.
en-unannotated-02373	I stayed in this hotel by business/leisure trip to Madrid during the month of June, 2016. It was a great choice and very convenient.
en-unannotated-02374	The decor is modern and tasteful.
en-unannotated-02375	The staff were very friendly and accommodating.
en-unannotated-02376	The gnocchi was very good, the schnitzel not so much.
en-unannotated-02377	The main area of the restaurant has around 15 tables and...
en-unannotated-02378	Really good surprise in this area.
en-unannotated-02379	Jeez, I just wanna watch the game
en-unannotated-02380	Absolutely love this game, very well developed.
en-unannotated-02381	The breakfast area is lovely and the terrace is also nice to relax.
en-unannotated-02382	I was quite disappointed with the meal I had there.
en-unannotated-02383	If you are looking to eat in a classy and upscale restaurant for breakfast then this is the place for you.
en-unannotated-02384	I did not fancy the crunchy potato straws as a side to that.
en-unannotated-02385	Venue is right on the riverfront which is great for people watching.
en-unannotated-02386	But mine were still good!
en-unannotated-02387	We had a large bottle of the White Gypsy Imperial Stout.
en-unannotated-02388	Flowery plates, old pictures, apples in small bowles on the tables, an old TV, old vacuumer and even old laundry.
en-unannotated-02389	It doesn't hurt that the cookies were good as well.
en-unannotated-02390	The staff was unfortunately not fluent in english but helpful non the less.
en-unannotated-02391	Just the location
en-unannotated-02392	Very good experience.
en-unannotated-02393	Excellent room and bathroom, great location, staff where very friendly and helpful, made us feel welcome, made our stay!
en-unannotated-02394	We found this restaurant on Yelp and thoroughly enjoyed our meal there.
en-unannotated-02395	Clean, modern hotel.
en-unannotated-02396	2. They weren't very english friendly, had no english menu and it always made me feel uncomfortable having to ask for help with the menu to the cashier with 20 people behind me inline so I would only nervously point to something on the board with only the slightest idea of what I was ordering and would cross my finger and hope I hadn't ordered something I wouldn't like.
en-unannotated-02397	PERIOD!
en-unannotated-02398	I highly recommend Boxty House
en-unannotated-02399	hotel well located , I had a quick sevice for dinner.
en-unannotated-02400	The fish in it was chewy and vegetables were quite messy.
en-unannotated-02401	Sake has counterparts in Melbourne and Sydney and I can't wait to check these out.
en-unannotated-02402	Some of the bell door men nice persons and the housekeeping....
en-unannotated-02403	40 euros for the food, a glass of wine, and an espresso afterwards.
en-unannotated-02404	I stayed at the St Regis for a night with my boyfriend.
en-unannotated-02405	It was awkward and weird and obviously super rude.
en-unannotated-02406	Oh well.
en-unannotated-02407	Would stay there again.
en-unannotated-02408	With all that beautiful feeling.
en-unannotated-02409	Our room was on the ground floor with a mini garden.
en-unannotated-02410	Take your family, your friends or impress that date.
en-unannotated-02411	Pork sirloin - amazing
en-unannotated-02412	I would highly recommend the cabbage pancakes as it reminded us of potato rosti which we love.
en-unannotated-02413	All dishes are great.
en-unannotated-02414	It was an absolute pleasure staying here.
en-unannotated-02415	Make reservations or you'll run the risk of not having a table - the restaurant is very small.
en-unannotated-02416	We felt quite at home and comfortable very quickly.
en-unannotated-02417	Would I recommend this place?
en-unannotated-02418	Lovely old world building.
en-unannotated-02419	The room was very nice, service was excellent, It was very clean, the restaurant was good.
en-unannotated-02420	From start to finish this was a fabulous evening.
en-unannotated-02421	Hands down the best food and service I've had in Paris.
en-unannotated-02422	I'm so happy that I discovered this place and actually walked in the alleyway that day..
en-unannotated-02423	I'd probably go back but I wouldn't make it a priority.
en-unannotated-02424	Highly recommended!
en-unannotated-02425	equipment was out of order 😳😳. Hope management will read this review
